Problem Size,Obj,Time,Algorithm,Alpha
problem_2k.0.dat,124601.72510137,120,GRASP,0.7
problem_2k.0.dat,125841.3603135,120,GRASP,0.5
problem_2k.0.dat,126538.36560748,120,GRASP,0.25
problem_2k.0.dat,128062.32699833,120,GRASP,0.10
problem_2k.0.dat,127956.9979670,120,GRASP,0.05
problem_6k.0.dat,489785.3462621,120,GRASP,0.7
problem_6k.0.dat,490789.4853495,120,GRASP,0.5
problem_6k.0.dat,497487.90356217,120,GRASP,0.25
problem_6k.0.dat,496482.14990079,120,GRASP,0.10
problem_6k.0.dat,495262.16463516,120,GRASP,0.05
