Problem Size,Obj,Time,Algorithm,Alpha
problem_500.0.dat,47507.765377915,1.9603072999743745,CPLEX,
problem_500.0.dat,45140.74002666,0.0334,Greedy,
problem_500.0.dat,43627.59799244,3.9562,Random,
problem_500.0.dat,45141.84773646,120,GRASP,0.65
problem_1k.0.dat,92617.929855114,5.209351900033653,CPLEX,
problem_1k.0.dat,87377.01106805,0.1084,Greedy,
problem_1k.0.dat,84835.90736309,12.6406,Random,
problem_1k.0.dat,88084.23082538,120,GRASP,0.65
problem_2k.0.dat,131202.059248468,24.53328169998713,CPLEX,
problem_2k.0.dat,124601.72510137,0.0902221,Greedy,
problem_2k.0.dat,119592.23966717,38.45570829999,Random,
problem_2k.0.dat,124601.72510137,120.5727948,GRASP,0.65
problem_6k.0.dat,498318.722177004,913.7866523000412,CPLEX,
problem_6k.0.dat,489785.3462621,1.269320899,Greedy,
problem_6k.0.dat,473787.4111947,129.5554555,Random,
problem_6k.0.dat,489785.3462621,127.7231794,GRASP,0.65
problem_40k.0.dat,3087342.764294367,900.8903257999336,CPLEX,
problem_40k.0.dat,3221535.20757754 ,64.7729718,Greedy,
problem_40k.0.dat,3221535.20757754,144.1281727,GRASP,0.65
problem_80k.0.dat,6244765.049022941,901.539317100076,CPLEX,
problem_80k.0.dat,6519525.28795649,287.989365999,Greedy,
problem_80k.0.dat,6519525.28795649,300.8491760999,GRASP,0.65
